,Names,Price,Discount,Stars,Images,Links
0,Enorme Chu Chu Animal Toys and Duck Family Squeeze...,271.66,(66% Off),3.12,https://cdn.fcglcdn.com/brainbees/images/products/219x265/12727434a.webp,//www.firstcry.com/enorme/enorme-chu-chu-animal-toys-and-duck-family-squeeze-bath-toys-pack-of-12-color-may-vary/12727434/product-detail
1,Babyhug Bath Squeeze Toys Transport Pack of 4 -...,367.35,(7% Off),4,https://cdn.fcglcdn.com/brainbees/images/products/219x265/11918374a.webp,//www.firstcry.com/babyhug/babyhug-bath-squeeze-toys-transport-pack-of-4-multicolour/11918374/product-detail
2,Babyhug Bath Squeeze Toys Ocean Animals Pack of 6 -...,284.4,(28% Off),4.06,https://cdn.fcglcdn.com/brainbees/images/products/219x265/11918372a.webp,//www.firstcry.com/babyhug/babyhug-bath-squeeze-toys-ocean-animals-pack-of-6-multicolour/11918372/product-detail
3,Babyhug Bath In Style Squeezy Toy Set Vehicles Pack of...,395.25,(7% Off),3.68,https://cdn.fcglcdn.com/brainbees/images/products/219x265/10064110a.webp,//www.firstcry.com/babyhug/babyhug-bath-in-style-squeezy-toy-set-vehicles-pack-of-4-color-may-vary/10064110/product-detail
4,NEGOCIO Swimming Turtle Wind Up Water Floating Bath...,495.38,(38% Off),4.55,https://cdn.fcglcdn.com/brainbees/images/products/219x265/13058931a.webp,//www.firstcry.com/negocio/negocio-swimming-turtle-wind-up-water-floating-bath-toy-pack-of-4-multicolour/13058931/product-detail
5,Babyhug Bath In Style Squeeze Building Blocks Set Pack...,358,(60% Off),4.17,https://cdn.fcglcdn.com/brainbees/images/products/219x265/11918375a.webp,//www.firstcry.com/babyhug/babyhug-bath-in-style-squeeze-building-blocks-set-pack-of-8-multicolour/11918375/product-detail
6,Babyhug Bath In Style Squeezy Toy Set Aquatic Animals...,395.25,(7% Off),4.04,https://cdn.fcglcdn.com/brainbees/images/products/219x265/10064109a.webp,//www.firstcry.com/babyhug/babyhug-bath-in-style-squeezy-toy-set-aquatic-animals-pack-of-4-color-may-vary/10064109/product-detail
7,Babyhug Bath Squeeze Toys Jungle Animals Pack of 6 -...,460.35,(7% Off),3.84,https://cdn.fcglcdn.com/brainbees/images/products/219x265/11918371a.webp,//www.firstcry.com/babyhug/babyhug-bath-squeeze-toys-jungle-animals-pack-of-6-multicolour/11918371/product-detail
8,VWorld Animal Shaped Bath Toys Pack of 12 - color &...,359.55,(55% Off),3.65,https://cdn.fcglcdn.com/brainbees/images/products/219x265/8019265a.webp,//www.firstcry.com/vworld/vworld-animal-shaped-bath-toys-pack-of-12-color-and-design-may-vary/8019265/product-detail
9,Babyhug Bath Squeeze Toys Pet Animals Pack of 6 -...,367.35,(7% Off),4.31,https://cdn.fcglcdn.com/brainbees/images/products/219x265/11918373a.webp,//www.firstcry.com/babyhug/babyhug-bath-squeeze-toys-pet-animals-pack-of-6-multicolour/11918373/product-detail
10,Negocio Wind Up Swimming Penguin Bath Toy Toddlers...,499.5,(50% Off),4,https://cdn.fcglcdn.com/brainbees/images/products/219x265/13058926a.webp,//www.firstcry.com/negocio/negocio-wind-up-swimming-penguin-bath-toy-toddlers-swimming-floating-playing-toy-in-bathroom-beach-pool-colorful-water-toys-pack-of-3-multicolour/13058926/product-detail
11,Babyhug Bath In Style Squeezy Toy Set Pet Animals Pack...,395.25,(7% Off),4.1,https://cdn.fcglcdn.com/brainbees/images/products/219x265/10064108a.webp,//www.firstcry.com/babyhug/babyhug-bath-in-style-squeezy-toy-set-pet-animals-pack-of-4-color-may-vary/10064108/product-detail
12,Ratnas Squeezy Balls Pack of 6 (Color & Design May...,205.8,(2% Off),3.44,https://cdn.fcglcdn.com/brainbees/images/products/219x265/8797952a.webp,//www.firstcry.com/ratnas/ratnas-squeezy-balls-pack-of-6-color-and-design-may-vary/8797952/product-detail
13,FunBlast Animal Shaped Bath Toys Pack of 12 -...,393.12,(44% Off),4.01,https://cdn.fcglcdn.com/brainbees/images/products/219x265/3542617a.webp,//www.firstcry.com/funblast/funblast-animal-shaped-bath-toys-pack-of-12-multicolor/3542617/product-detail
14,Sanjary Water Tortoise (colour may vary),181.72,(72% Off),4.19,https://cdn.fcglcdn.com/brainbees/images/products/219x265/11610400a.webp,//www.firstcry.com/sanjary/sanjary-water-tortoise-colour-may-vary/11610400/product-detail
15,VWorld Animal Shaped Bath Toys Pack of 8 - Multicolor,281.53,(53% Off),3.53,https://cdn.fcglcdn.com/brainbees/images/products/219x265/8019264a.webp,//www.firstcry.com/vworld/vworld-animal-shaped-bath-toys-pack-of-8-multicolor/8019264/product-detail
16,VWorld Squeeze Chu Chu Duck Family Bath Toy Pack of 16...,589.41,(41% Off),3.8,https://cdn.fcglcdn.com/brainbees/images/products/219x265/10501670a.webp,//www.firstcry.com/vworld/vworld-squeeze-chu-chu-duck-family-bath-toy-pack-of-16-multicolour/10501670/product-detail
17,Ratnas Squeaky Toys Fruits 6 Pieces - (Colors & Fruits...,327.75,(5% Off),3.56,https://cdn.fcglcdn.com/brainbees/images/products/219x265/970522a.webp,//www.firstcry.com/ratnas/ratnas-squeaky-toys-fruits-6-pieces-colors-and-fruits-may-vary/970522/product-detail
18,Ratnas Squeezy Bath Toys Pack of 5 (Colour & Design...,281.06,(upto 20% Off),3.86,https://cdn.fcglcdn.com/brainbees/images/products/219x265/9237304a.webp,//www.firstcry.com/ratnas/ratnas-squeezy-bath-toys-pack-of-5-colour-and-design-may-vary/9237304/product-detail
